test,status,setup_time,solve_time,run_time,obj,phi,iters,,15
QSCTAP3,QOCO_SOLVED,0.0065321,0.1312627,0.1377948,1438.755497,1.75E-11,38,,
QSEBA,QOCO_SOLVED,0.0026248,0.0498614,0.0524862,31693913.36,1.16E-09,42,,
QSHARE1B,QOCO_SOLVED,0.0007267,0.0098204,0.0105471,720078.3462,3.42E-10,35,,
QSHARE2B,QOCO_MAX_ITER,0.0003799,0.0583909,Inf,11633.32369,2.27E-08,200,,
QSHELL,QOCO_MAX_ITER,0.0555351,2.8518087,Inf,1.56855E+12,1.59E-08,200,,
QSHIP04L,QOCO_SOLVED,0.0051565,0.0314409,0.0365974,2420015.842,4.55E-11,26,,
QSHIP04S,QOCO_SOLVED,0.002735,0.0229089,0.0256439,2424994.328,1.08E-11,23,,
QSHIP08L,QOCO_SOLVED,0.0157802,0.6430805,0.6588607,2376040.659,8.78E-10,30,,
QSHIP08S,QOCO_SOLVED,0.0058161,0.0943386,0.1001547,2385729.034,1.34E-10,26,,
QSHIP12L,QOCO_SOLVED,0.0242887,0.9996885,1.0239772,3018876.622,1.36E-09,31,,
QSHIP12S,QOCO_SOLVED,0.0065005,0.1236735,0.130174,3056962.384,4.90E-09,28,,
QSIERRA,QOCO_MAX_ITER,0.0039538,0.9726096,Inf,NaN,NaN,200,,
QSTAIR,QOCO_SOLVED,0.001753,0.1776301,0.1793831,7985443.201,1.69E-12,128,,
QSTANDAT,QOCO_SOLVED,0.0018004,0.0284609,0.0302613,6412.964977,3.92E-09,33,,
S268,QOCO_SOLVED,4.76E-05,0.0001246,0.0001722,-14462.13938,1.33E-09,2,,
STCQP1,QOCO_SOLVED,0.0085349,0.2342215,0.2427564,155143.5548,3.42E-09,14,,
STCQP2,QOCO_SOLVED,0.0093451,0.624506,0.6338511,22327.31328,6.56E-10,17,,
TAME,QOCO_SOLVED,2.31E-05,0.0001412,0.0001643,2.22E-17,9.36E-22,3,,
UBH1,QOCO_SOLVED,0.1895379,0.2294214,0.4189593,1.116000816,1.11E-10,23,,
YAO,QOCO_MAX_ITER,0.0011515,0.3168946,Inf,-257.5313838,5.36E-05,200,,
ZECEVIC2,QOCO_SOLVED,3.94E-05,0.0001737,0.0002131,-4.124999959,1.37E-15,4,,
