test,status,setup_time,solve_time,run_time,obj,phi,iters,,,27
QSCSD6,QOCO_SOLVED,0.0030087,0.0317593,0.034768,50.80827121,1.95E-09,26,,,
QSCSD8,QOCO_SOLVED,0.0059397,0.0627344,0.0686741,940.7643786,2.31E-09,21,,,
QSCTAP1,QOCO_SOLVED,0.0011013,0.014246,0.0153473,1415.861905,1.38E-09,21,,,
QSCTAP2,QOCO_SOLVED,0.004025,0.0923938,0.0964188,1735.028433,1.06E-09,33,,,
QSCTAP3,QOCO_SOLVED,0.0061985,0.1230541,0.1292526,1438.755497,1.75E-11,38,,,
QSEBA,QOCO_SOLVED,0.0023675,0.0521228,0.0544903,31693913.28,1.16E-09,42,,,
QSHARE1B,QOCO_SOLVED,0.0008895,0.0121031,0.0129926,720078.3465,3.61E-10,35,,,
QSHARE2B,QOCO_MAX_ITER,0.0002664,0.0608065,Inf,NaN,NaN,200,,,
QSHELL,QOCO_SOLVED,0.0446984,0.7298458,0.7745442,1.57264E+12,2.86E-09,62,,,
QSHIP04L,QOCO_SOLVED,0.005672,0.0376657,0.0433377,2420015.841,4.62E-11,26,,,
QSHIP04S,QOCO_SOLVED,0.0033578,0.0244646,0.0278224,2424994.328,1.08E-11,23,,,
QSHIP08L,QOCO_SOLVED,0.0183451,0.8523406,0.8706857,2376040.779,7.85E-10,30,,,
QSHIP08S,QOCO_SOLVED,0.00589,0.1079376,0.1138276,2385729.032,1.30E-10,26,,,
QSHIP12L,QOCO_SOLVED,0.025235,1.0417904,1.0670254,3018876.621,1.36E-09,31,,,
QSHIP12S,QOCO_SOLVED,0.0063945,0.105247,0.1116415,3056962.383,4.89E-09,28,,,
QSIERRA,QOCO_MAX_ITER,0.0058117,0.9634207,Inf,NaN,NaN,200,,,
QSTAIR,QOCO_MAX_ITER,0.0017148,0.3217997,Inf,NaN,NaN,200,,,
QSTANDAT,QOCO_MAX_ITER,0.0020692,0.2382682,Inf,22520.20757,6.65E-08,200,,,
S268,QOCO_SOLVED,4.22E-05,0.0001227,0.0001649,-14462.13938,1.33E-09,2,,,
STCQP1,QOCO_SOLVED,0.0077299,0.2427708,0.2505007,155143.5548,3.42E-09,14,,,
STCQP2,QOCO_SOLVED,0.0080403,0.6324706,0.6405109,22327.31328,6.56E-10,17,,,
TAME,QOCO_SOLVED,2.05E-05,0.0001507,0.0001712,5.35E-17,9.36E-22,3,,,
UBH1,QOCO_SOLVED,0.1914107,0.2157557,0.4071664,1.116000815,9.12E-11,22,,,
YAO,QOCO_MAX_ITER,0.0008442,0.2922136,Inf,-256.8637032,4.54E-05,200,,,
ZECEVIC2,QOCO_SOLVED,8.11E-05,0.0001702,0.0002513,-4.124999959,1.37E-15,4,,,
